label|,|ques
news_sports/basketball/NBA,news_sports/other,news_sports|,|那些被詹皇打散重建的球队
news_tech/internet/e-business/O2O,news_finance/entrepreneurship/other,news_finance/entrepreneurship,news_finance|,|“三个成倍”是衡量O2O创业项目能否成功的关键
news_sports,news_entertainment|,|快看！梅西演电影了 网友：拉玛西亚影视学院最正宗
news_society/civil/social_insurance,news_society/other,news_agriculture/farmer,news_society,news_agriculture|,|农民50岁还干活，只为买“退休”，一次缴满9万元划算不划算？
news_home/other,news_home|,|只需做好这四点，就能让你养的天竺葵全年花开不断！
news_travel/other,news_home/floriculture,news_travel|,|长沙，红梅盛开含笑迎接新年
news|,|赋得真情必动人，那些轻触心尖儿的情诗
news_society/news_law/statute,news_politics/other,news_society/news_law,news_society,news_politics|,|「第212期」重拳出击治“老赖”丨不开玩笑，拿下13个亿！
news_finance/investment/other,news_tech/other,news_politics/other,news_finance/investment,news_finance,news_tech,news_politics|,|中国品牌创新发展工程推荐企业
news_food/other,news_food|,|新人报到 | 15分钟“一人食”营养早餐，怎么做？
news_fashion/dressing,news_entertainment/vulgar,news_fashion|,|泫雅新MV将BRA外穿得太性感差点被禁
news_tech/other,news_tech|,|奥迪、乐视、丰田要让汽车VR从虚拟到现实，还有几道坎？
news_sports/tennis,news_sports|,|与费纳德同处一个时代的不幸，他最有话说
emotion/marriage/other,emotion/affection/other,emotion/marriage,emotion/affection,emotion|,|小姑子帮我带大儿子，二十年后她找我借3万，我给她转账30万
news_entertainment/hk_taiwan_entertainment,news_entertainment|,|因为一句爱国话在台湾疯狂掉粉 为什么还有人去骂他不爱国？
news_health/other,news_health|,|业内动态 | ERAS理念下的术后镇痛研讨会纪实总结
news|,|吸烟有害健康，戒不了，怎么办？让茶帮你
news_entertainment/west_entertainment/other,news_entertainment/west_entertainment,news_entertainment|,|《哈利波特》“斯内普教授”艾伦·里克曼去世
news_society/news_law/other,news_house/house_renting,news_society/news_law,news_society|,|“119”警示丨三小场所、出租屋火灾案例警示
digital/cellphone/huawei_phone,digital/operating_system/Android,news_tech/software,digital/operating_system,digital/hardware,digital/cellphone,digital,news_tech|,|国内首发安卓7.0 华为Mate 9之EMUI 5.0体验
news_sports/olympic_games,news_sports/ping_pong,news_sports|,|她是国乒第一个在奥运会让球的选手，让球后选择退役并远嫁韩国
news_entertainment/other,news_entertainment|,|49岁翁虹全家近照，富豪老公为生儿子改名，女儿可爱文静像美妈
digital/cellphone/other,digital/operating_system/Android,news/pandian,digital/cellphone,digital|,|手机也疯狂！盘点那些打破世界纪录的手机
emotion/marriage/other,emotion/affection/other,emotion/marriage,emotion/affection,emotion/jitang,emotion/low_grage_emotion,emotion|,|当妻子重要的不是有漂亮脸蛋，重要的是你必须有智慧
news_home/decoration/furniture,news_home/decoration,news_home|,|简单装修怎么搭配实木家具？这几个案例请收下
news_history/chinese_history/ancient_chinese_history/other,news_history/chinese_history/ancient_chinese_history,news_history/chinese_history,news_history|,|短暂存在的三川郡，影响中国两千年的三件事
news_society/other,news_society|,|注意啦！高速上遇到这事，千万别停车！别开车门！别开窗！
digital/coolplay/other,digital/cellphone/other,digital/computer_peripheral/mechanical_keyboard,digital/coolplay,digital/cellphone,digital|,|装逼族的“大宝剑”之花式秀键盘
news_society/civil/other,news_society/civil,government,news_society|,|成安交警大队2016年中秋小长假期间两公布一提示
news_travel/self_driving_tour,news_travel|,|我国唯一融山海湖为一体的秘境
news|,|谁家少得了书桌？不过这么美的你肯定没见过
news|,|独家｜陈灼昊案判决书全文
news_military/weaponry/other,news_edu/art_education/painting,news_military/weaponry,news_military|,|致歉···弄错国产54手枪和仿制原版的苏联TT-33手枪
news_entertainment,news|,|考试作弊是门艺术~但是谁用过这些奇葩方法？
news_collect/plaything,news_collect|,|蜜蜡附有色膜是什么鬼？
news_pet/other,news_pet|,|老爷爷救了两受伤狐狸，可当它们伤好了准备放走时，却发生了这事
digital/cellphone/other,digital/hardware,digital/cellphone,digital|,|打造极致Hi-Fi影视手机 国产品牌谁也不敢与vivo为敌
news|,|父母的位置摆不正，子孙就会很危险！
emotion/affection/other,emotion/marriage/extramarital_affair,emotion/marriage,emotion/affection,emotion/low_grage_emotion,emotion|,|激情过后——请给你的婚外情披上合法的外衣
news_society/other,news_society|,|鸡蛋如何装进油桶？今天全面解析
news_sports/basketball/NBA,news_sports/basketball,news_sports|,|他是03年NBA选秀三杰最大苦主，防守如铜墙铁壁一般！
government,news_society/civil/other,news_society/civil,news_society|,|[余票信息]快关注、早出手，春运之路更顺心
digital/coolplay/wearable_devices,digital/other,news_tech/internet_cellphone,news_tech,digital|,|小米生态链近期发狂!?1MORE、90分近日又有新品问世!
news_culture/other,news_food/tea,news_culture|,|品精典布朗山金瓜，鉴一片茶叶里多少春秋！
news_tech,news_food/wine_drinking/other,news_finance/entrepreneurship/other,news_food/wine_drinking,news_finance/entrepreneurship,news|,|程序员创业首先学会喝酒！
news_fashion/cosmetology/body_care/other,news_fashion/cosmetology/body_care,news_fashion/other,news/pandian,news_fashion|,|经常按摩疏通淋巴，还可以瘦脸！明星们都这么做！
news|,|数学建模思想｜从现实对象到数学模型！
news_edu/edu_upgrade/english_language,news_edu/other,news_edu|,|1706四六级全科备考计划
news_culture/art/calligraphy,news_edu/art_education/painting,news_collect/other,news_culture/art,news_culture,news_collect|,|3.3一元拍卖会︱名家书画专场
digital/cellphone/other,digital/photography/camera,digital/cellphone,digital|,|这也能叫黑科技？双镜头cool1 dual笑而不语
news_car/other,news_car|,|4S店猫腻之选装！
news_history|,|毛主席曾经特赦过七次战犯，为何没有特赦汪精卫的夫人陈璧君？
news_car/sports_car,news|,|这款车只卖给中国人，太霸道了！
digital/coolplay/virtual_reality,digital/hardware,news_tech/artificial_intelligence,technique/natural_language_processing,news_tech|,|自然裸手ARVR体验 uSens凌感正式发布Fingo
news_entertainment/gossip,news_entertainment|,|近期娱乐圈的四大重磅新闻 一条刷新三观两条让人心痛不愿相信！
news_health/regimen/other,news_health/medical_news/other,news_health/cancer/other,news_health/cancer,news_health/regimen,news_health/medical_news,news_health|,|精品原创︱大肠癌肝转移患者“能活多久”？
news|,|最爱二次元美女丨少女前线美图
news_fashion/dressing/other,news_fashion/dressing,news_fashion|,|2016最火的吊带衫搭配方案，全在这了！
news_finance/investment/stock/other,news_finance/investment/stock,news_agriculture/planting,news_finance/investment,news_agriculture,news_finance|,|尿素 暴涨背后的4个理由 及后市预测！
lottery/other,lottery|,|大乐透16139期关注凤尾28、29 不要错过38亿奖池！
news_finance/investment/stock/other,news_finance/investment/stock,news_finance/investment,news_finance|,|宇辉战舰盘前点睛20160711
news_baby/baby_growth/baby_parenting/other,news_food/menu/other,news_baby/baby_growth/baby_parenting,news_baby/baby_nurturing/baby_nursing,news_baby/baby_nurturing,news_food/menu,news_baby/baby_growth,news_food,news_baby,news_psychology|,|半大孩子喜欢的几个家常菜
news_photography|,|归零归零 丨 更新预告 采集神秘白色体液的小护士 5月20日
news_food/dessert,news_food|,|美得如此丧心病狂的甜点，是想让我吃还是不吃呢~
news_fashion/dressing/other,funny/marvel,news_fashion/dressing,news_fashion,funny|,|被路边小哥拉进理发店，进去之后竟然是这样的！
news_car/car_usage/other,news_car/huohua_car_usage,news_car/car_usage,news_car|,|开车三年半，有一样东西该换了，可许多温州人却不知道！
news_finance/entrepreneurship/other,news_tech/maker,news_finance/entrepreneurship,news_finance,news_tech|,|创客100第十五期开放日以前，他用报道把副部级官员送进监狱，今天，他用内容“勾引”读者
news_tech/other,news_tech|,|熟记这11个最常用PS快捷键 早日成为专业设计师
news_sports/football/football_world/football_england,news_sports/football/football_world,news_sports/football,news_sports|,|足球风云汇：收官献礼，这场大球不可错过
news_astrology/numerology/chinese_zodiac,news_culture/other,news_culture|,|第一轮生肖贺岁纪念币价值连城，你见过哪个？
news_sports/football/football_world/other,news_sports/football/football_world,news_sports/football,news_sports|,|足坛15大终身无缘世界杯的巨星，谁最遗憾
news_society/other,news_politics/other,news_military/other,news_society,news_politics,news_military|,|淄博中心城区公安武警联勤武装巡逻启动
news_food/menu/other,news_food/menu,news_food|,|凉拌猪心：几道小动作“除腥增鲜”做出优质下酒菜！
science_all/animal/snake,science_all/other,science_all|,|蛇来啦！简单讲下曼巴属的区分！
news_baby/pregnancy/pregnancying,news_baby/other,news_baby|,|中国唐氏儿成了美国网红，唐筛不合格，你愿意把胎儿生下来吗？
news_tech/internet/e-business/other,news_tech/internet/e-business,news_agriculture/farming,news_tech/internet,news_agriculture,news_tech|,|冷链学术|冷链物流基础上的生鲜电商发展研究
news_health/sexual_health/women_health/gynecology,news_health/sexual_health/women_health,news_health/sexual_health,news_health|,|关于子宫内膜异位症，你应该先看看这一篇！
news_society/news_law/other,news_politics/politics_law,news_society/news_law,government,news_society|,|临漳交警执勤捡手机 归还失主受称赞
news_history/chinese_history/ancient_chinese_history/other,news_history/chinese_history/ancient_chinese_history,news_history/chinese_history,news_history|,|赵匡胤一脉能重新获得江山，靠得竟是一个女人的梦！
news_history/chinese_history/ancient_chinese_history/other,news_history/chinese_history/ancient_chinese_history,news_history/chinese_history,news_history|,|秦国年仅12岁的奇才，吕不韦不到的事他办到了
news_culture/reading/poetry,news|,|网友最有情怀20首诗词：我有一壶酒，可以慰风尘
news_home/decoration/furniture,news_home/decoration,news_home|,|装修老司机给出的实用小窍门，句句戳心！总有几点是你所忽略掉的
news|,|浙江仙居上演荧光炫彩夜跑
news_military/weaponry/other,news_military/weaponry,news_military/military_china,news_military|,|MP5冲锋枪如此成功，适合中国警察吗？其实有远比它更好的选择
news_society/news_law/statute,news_society/news_law,government,news_society|,|法庭启动联动司法 诉前成功调解家庭纠纷
funny/other,funny|,|哈哈哈哈哈！最强买家秀来袭，双十一防剁手全靠它了!
news_baby/baby_growth/baby_parenting/other,news_baby/baby_growth/baby_parenting,news_baby/baby_growth,news_baby|,|教孩子学会情绪管理！成才，情商占80%，智商仅占20%
news_edu/edu_upgrade/other,news_edu/edu_upgrade,news_edu|,|兴趣是最好的老师｜小芸老师开导学生软硬兼施智慧满满
news_health/regimen/other,news_health/cancer/other,news_health/cancer,news/pandian,news_health/regimen,news_health|,|全球十大垃圾食品，吃了只会增加负担！
news_society/other,news_society|,|加拿大3名男警察性侵“警花” 或利用“失身酒”
news_society/civil/other,news_politics/politics_law,news_society/civil,news_society|,|中秋节期间玉山县道路出行提示
news_home/floriculture,news|,|花箱盆栽合理利用花园空间
news_history/chinese_history/ancient_chinese_history/other,news_history/chinese_history/ancient_chinese_history,news_culture/other,news_history/chinese_history,news_culture|,|微观茶市丨顾绍培师生紫砂作品展东莞启幕
digital/cellphone/other,digital/hardware,digital/cellphone,digital|,|小米5s：真正的强大，总是由内而外
news_pet/dogs,news_pet|,|二哈陷入自恋中无法自拔，每天都照镜子欣赏自己，这幕让人笑喷
